context,subject,predicate,object,date,wiki
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-6217a932-430d-22a2-1af9-315cb7a8556f>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-a017ec94-43ba-292f-b281-1587a8b4997d>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/P166>,<http://www.wikidata.org/entity/statement/Q100268605-0d901d5d-4c61-fefd-1983-dfe3a7e9436e>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-06f88550-427c-74e3-0851-1860c0799497>,<http://www.wikidata.org/prop/statement/P1038>,<http://www.wikidata.org/entity/Q15970148>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/P1038>,<http://www.wikidata.org/entity/statement/Q100268605-f873c29e-497a-6aef-74cb-7d7d6ada8fe1>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://schema.org/dateModified>,"""2021-06-02T11:14:33Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://wikiba.se/ontology#identifiers>,"""1""^^<http://www.w3.org/2001/XMLSchema#integer>",20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-a017ec94-43ba-292f-b281-1587a8b4997d>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-e880d476-4b04-8a04-5511-e8ba51191f5d>,<http://www.wikidata.org/prop/statement/value/P569>,<http://www.wikidata.org/value/40caf13a0db2d8cfccb24a243a9c01a7>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-17fe4a00-4176-e632-6570-568ef1a6c9ea>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-e392f20c-4adf-4904-e368-b85827545089>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P1038>,<http://www.wikidata.org/entity/Q2833375>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-6217a932-430d-22a2-1af9-315cb7a8556f>,<http://www.wikidata.org/prop/qualifier/P582>,"""1837-01-01T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P106>,<http://www.wikidata.org/entity/Q193391>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://wikiba.se/ontology#sitelinks>,"""0""^^<http://www.w3.org/2001/XMLSchema#integer>",20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-6217a932-430d-22a2-1af9-315cb7a8556f>,<http://www.wikidata.org/prop/qualifier/value/P580>,<http://www.wikidata.org/value/263882ffac7373e34af958f23343262a>,20220502,wikidata
